image_date,minx,miny,maxx,maxy,MEAN_SOLAR_ZENITH_ANGLE,CLOUDY_PIXEL_PERCENTAGE,AREA,VEGETATION_PERCENTAGE,THIN_CIRRUS_PERCENTAGE
2019-02-18_03-45-30,103.17560615147838,8.953902438142253,104.03984024664696,9.950119523960272,31.4953289176,15.258009,48PUR,0.137991,4.305176
2019-02-25_03-35-17,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,31.5592479985,15.466565,48PVS,15.194067,3.415815
2019-02-12_03-25-16,106.31079323276948,9.857075849513782,106.9190801917226,10.851773156092182,35.2170528764,16.009991,48PXS,40.045881,0.000268
2019-02-08_03-45-31,103.17560579945784,8.953902175291551,104.03692262418804,9.950111329519,33.8194200155,16.017294,48PUR,0.079885,0.000249
2019-02-10_03-35-12,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,34.5547882464,17.633743,48PWS,56.089264,0.180865
2019-02-20_03-35-18,103.79642935792803,9.860352949831102,104.17725512940856,10.854464395757088,33.5175816096,18.316722,48PUS,18.834041,0.0
2019-02-07_03-25-13,106.31079359200002,9.857075849513782,106.9190801917226,10.851770421433514,36.2952263475,18.4385,48PXS,29.460314,1.3e-05
2019-02-20_03-34-53,105.91454112647963,10.76222202622785,106.92510452852471,11.758657843410626,32.1466343558,18.582186,48PXT,50.494629,0.000185
2019-02-25_03-35-10,105.91193437545276,9.858994847714742,106.76563586972188,10.854211396475144,30.1691338499,18.98222,48PXS,45.395786,0.000117
2019-02-05_03-35-36,103.59274303017835,8.955697954354191,104.17938983366636,9.950485237113282,36.1517753472,19.248641,48PUR,0.048175,13.457172
2019-02-25_03-35-28,104.99972617172784,8.9570263808174,106.00139103412452,9.951498048371398,30.2566177583,20.029529,48PWR,26.37718,0.118095
2019-02-18_03-45-16,103.17035103578527,9.85756950139428,104.17550901230318,10.854464395757088,32.1511615603,20.202135,48PUS,10.407408,0.006352
2019-02-10_03-35-23,105.90956829950066,8.955992368915238,106.55355963317966,9.950253775617009,33.2454404483,20.447904,48PXR,28.54054,7.615024
2019-02-20_03-35-00,104.08356917816565,10.76577099881297,105.08948704583928,11.760133228715963,33.4677442592,20.456754,48PVT,12.619451,0.000532
2019-02-20_03-35-14,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,32.833982161,21.037642,48PVS,14.837334,0.000196
2019-02-10_03-35-26,104.99972617172784,8.9570263808174,106.00139103412452,9.951498048371398,33.8733287233,21.575355,48PWR,30.626518,0.369783
2019-02-17_03-25-12,106.312981587105,9.857075849513782,106.9190801917226,10.851756735193092,34.0748959758,21.840673,48PXS,25.749415,0.002569
2019-02-25_03-35-46,104.08966492388936,8.052655568438503,105.0887172101058,9.04683266589854,30.387602393,21.848265,48PVQ,2.851059,10.923792
2019-02-12_03-25-31,106.11148923901952,8.953454850958392,106.91356853559611,9.948854028868665,34.5661370031,21.856109,48PXR,3.153557,0.000721
2019-02-10_03-35-00,104.08354861990452,10.76577099881297,105.08948704583928,11.76013322875209,35.8646976012,23.706369,48PVT,14.557694,0.000487
2019-02-10_03-35-32,103.59384263874392,8.955703465314567,104.17938983366636,9.950485237113282,35.1583310067,24.146363,48PUR,0.012519,0.0
2019-02-20_03-35-22,105.90956829950066,8.955983057684877,106.55620433351672,9.950253775617009,30.8501263888,24.789983,48PXR,20.88398,0.0
2019-02-05_03-35-18,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,36.2206218776,24.801939,48PVS,17.297132,8.54457
2019-02-10_03-34-57,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,35.2451716093,25.168186,48PWT,27.713314,1.7e-05
2019-02-20_03-35-26,104.99972617172784,8.9570263808174,106.00139103412452,9.951498048371398,31.5263902057,27.61136,48PWR,24.531116,0.000119
2019-02-20_03-35-07,105.91193437545276,9.859004070281085,106.76671884106146,10.854211396475144,31.4927650881,28.033666,48PXS,42.290035,0.000108
2019-02-20_03-34-57,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,32.802408713,28.105902,48PWT,23.138291,9e-05
2019-02-10_03-35-15,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,35.1834176452,30.933643,48PVS,15.739536,0.000236
2019-02-20_03-35-11,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,32.1586582629,31.886221,48PWS,37.218404,0.0
2019-02-25_03-35-25,105.90956829950066,8.95597734399238,106.5581194104898,9.950253775617009,29.5552243256,33.785972,48PXR,16.42908,0.028307
2019-02-05_03-35-22,103.7915149444627,9.860336638382591,104.17725512940856,10.854464395757088,36.836197328,34.049303,48PUS,11.224144,11.720336
2019-02-25_03-35-03,104.08356917816565,10.76577099881297,105.08948704583928,11.760133254715749,32.1650599023,34.376322,48PVT,5.042339,1.692307
2019-02-25_03-35-20,103.7964296232136,9.860354187008031,104.17725512940856,10.854464395757088,32.2665448167,36.161269,48PUS,9.13748,8.794501
2019-02-05_03-35-33,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,35.5272702659,37.641882,48PVR,2.728156,21.045683
2019-02-05_03-35-04,104.08355553173335,10.76577099881297,105.08948704583928,11.760133222499247,36.9222014054,40.060686,48PVT,14.647485,0.51114
2019-02-05_03-35-44,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,34.2174131974,45.018514,48PWQ,1.166572,30.124158
2019-03-12_03-34-59,104.08363058712726,10.76577099881297,105.08948704583928,11.760133254715749,28.1753448806,1.204892,48PVT,17.151293,0.040354
2019-03-02_03-34-55,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,30.134844077,2.632264,48PWT,29.86263,0.004459
2019-03-02_03-34-52,105.91454112647963,10.762208655736716,106.92510452852471,11.758657843410626,29.4295561288,2.989089,48PXT,64.579779,0.070766
2019-03-09_03-25-26,106.11912895543112,8.953454850958392,106.91356853559611,9.948821330538587,28.5406178576,3.773043,48PXR,6.291458,0.724719
2019-03-12_03-35-17,103.79971204108854,9.860364722554802,104.17725512940856,10.854464332735972,28.4580368863,4.529134,48PUS,26.810408,1.168178
2019-03-10_03-45-28,103.17560615147838,8.953902438142253,104.04294192620536,9.950128395430257,26.3208367475,4.632459,48PUR,0.147618,0.0
2019-03-22_03-35-02,104.0836850842802,10.765771015142654,105.08948704583928,11.76013322305257,25.6368972524,4.762231,48PVT,18.427177,2.866724
2019-03-10_03-45-14,103.17035103578527,9.85756950139428,104.17554217520524,10.854464395757088,26.8423999959,4.85362,48PUS,16.150829,2.1e-05
2019-03-17_03-35-10,105.91193437545276,9.858984920970146,106.76755629570184,10.854211396475144,24.823360509,5.424902,48PXS,31.036144,0.0
2019-03-30_03-45-18,103.17035103578527,9.85756950139428,104.17548781997144,10.854464395757088,22.0360025173,7.499826,48PUS,14.640312,0.015662
2019-03-12_03-35-40,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,25.9435123564,7.626601,48PWQ,2.775064,2.731869
2019-03-12_03-35-14,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,27.6774078777,8.674895,48PVS,13.124231,2.37466
2019-03-22_03-35-16,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,25.2353602684,11.012698,48PVS,12.454305,4.282056
2019-03-02_03-34-59,104.08349394557824,10.76577099881297,105.08948704583928,11.760133258770017,30.8487341185,11.61596,48PVT,16.455206,0.000308
2019-03-02_03-35-28,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,29.7159608018,12.105862,48PVR,7.209793,8.906354
