province,date,precipitation,minx,miny,maxx,maxy
Dong Thap,2022-07-28,5.242010022416145,105.1852665822807,10.134198983606884,105.94174409564891,10.973250132078466
Hau Giang,2022-07-28,6.787122309327887,105.3286667510096,9.58245212371618,105.89689452564392,10.024469393813913
Kien Giang,2022-07-28,9.285973701676514,103.45860895043066,9.285337707844768,105.53917643483103,10.540770860075064
Long An,2022-07-28,1.4508579029362585,105.5000522864946,10.39429836911349,106.7465360113959,11.03223963092016
Soc Trang,2022-07-28,2.548381029133359,105.544487281219,9.222357422604045,106.29362067441704,9.935960704508396
Tien Giang,2022-07-28,4.599384842833452,105.81575220542813,10.201914891785597,106.78444735953131,10.587390759284457
Tra Vinh,2022-07-28,1.2295160809704149,105.95179045022628,9.525955255052375,106.57993068474764,10.08155034080138
Vinh Long,2022-07-28,7.265800570488816,105.68251872426956,9.881631018924145,106.28965209076,10.33212058754154
An Giang,2022-07-29,0.0,104.778770446599,10.183177730593927,105.5755315150172,10.96156729626376
Bac Lieu,2022-07-29,0.6803163588002045,105.2320781910786,9.015620078159596,105.86004447827872,9.636871003685163
Ben Tre,2022-07-29,0.1280368696178954,106.028121331805,9.800894496376742,106.79137678166472,10.339995403704991
Ca Mau,2022-07-29,1.6500321015616506,104.52285371840746,8.410881255220625,105.41919102263952,9.561159869216205
Can Tho city,2022-07-29,1.418890755427943,105.22551888133968,9.920032814736352,105.81443674963094,10.325998260551987
Dong Thap,2022-07-29,0.4405127984340807,105.1852665822807,10.134198983606884,105.94174409564891,10.973250132078466
Hau Giang,2022-07-29,4.933264445227487,105.3286667510096,9.58245212371618,105.89689452564392,10.024469393813913
Kien Giang,2022-07-29,4.089309657451479,103.45860895043066,9.285337707844768,105.53917643483103,10.540770860075064
Long An,2022-07-29,5.110006596316964,105.5000522864946,10.39429836911349,106.7465360113959,11.03223963092016
Soc Trang,2022-07-29,0.4400330340479877,105.544487281219,9.222357422604045,106.29362067441704,9.935960704508396
Tien Giang,2022-07-29,2.3407623739178494,105.81575220542813,10.201914891785597,106.78444735953131,10.587390759284457
Tra Vinh,2022-07-29,0.0012061396521014,105.95179045022628,9.525955255052375,106.57993068474764,10.08155034080138
Vinh Long,2022-07-29,0.0,105.68251872426956,9.881631018924145,106.28965209076,10.33212058754154
An Giang,2022-07-30,11.957613274717032,104.778770446599,10.183177730593927,105.5755315150172,10.96156729626376
Bac Lieu,2022-07-30,6.106100425162407,105.2320781910786,9.015620078159596,105.86004447827872,9.636871003685163
Ben Tre,2022-07-30,10.675700870017868,106.028121331805,9.800894496376742,106.79137678166472,10.339995403704991
Ca Mau,2022-07-30,4.165760044517512,104.52285371840746,8.410881255220625,105.41919102263952,9.561159869216205
Can Tho city,2022-07-30,11.561740232187654,105.22551888133968,9.920032814736352,105.81443674963094,10.325998260551987
Dong Thap,2022-07-30,11.282194764226755,105.1852665822807,10.134198983606884,105.94174409564891,10.973250132078466
Hau Giang,2022-07-30,12.665614985975449,105.3286667510096,9.58245212371618,105.89689452564392,10.024469393813913
Kien Giang,2022-07-30,8.423259236058957,103.45860895043066,9.285337707844768,105.53917643483103,10.540770860075064
Long An,2022-07-30,16.023979776457125,105.5000522864946,10.39429836911349,106.7465360113959,11.03223963092016
Soc Trang,2022-07-30,4.394849781746594,105.544487281219,9.222357422604045,106.29362067441704,9.935960704508396
Tien Giang,2022-07-30,15.00533059345238,105.81575220542813,10.201914891785597,106.78444735953131,10.587390759284457
Tra Vinh,2022-07-30,7.195735597969302,105.95179045022628,9.525955255052375,106.57993068474764,10.08155034080138
Vinh Long,2022-07-30,15.80795120905284,105.68251872426956,9.881631018924145,106.28965209076,10.33212058754154
An Giang,2022-07-31,16.991737711997413,104.778770446599,10.183177730593927,105.5755315150172,10.96156729626376
Bac Lieu,2022-07-31,22.398530081191154,105.2320781910786,9.015620078159596,105.86004447827872,9.636871003685163
Ben Tre,2022-07-31,24.586387747367286,106.028121331805,9.800894496376742,106.79137678166472,10.339995403704991
Ca Mau,2022-07-31,21.650566120723216,104.52285371840746,8.410881255220625,105.41919102263952,9.561159869216205
Can Tho city,2022-07-31,22.61393395988469,105.22551888133968,9.920032814736352,105.81443674963094,10.325998260551987
Dong Thap,2022-07-31,17.787710087894993,105.1852665822807,10.134198983606884,105.94174409564891,10.973250132078466
Hau Giang,2022-07-31,29.1879925032154,105.3286667510096,9.58245212371618,105.89689452564392,10.024469393813913
Kien Giang,2022-07-31,24.931827204112064,103.45860895043066,9.285337707844768,105.53917643483103,10.540770860075064
Long An,2022-07-31,19.72371943480409,105.5000522864946,10.39429836911349,106.7465360113959,11.03223963092016
Soc Trang,2022-07-31,27.38887223793753,105.544487281219,9.222357422604045,106.29362067441704,9.935960704508396
Tien Giang,2022-07-31,22.312175326928323,105.81575220542813,10.201914891785597,106.78444735953131,10.587390759284457
Tra Vinh,2022-07-31,24.84019480131621,105.95179045022628,9.525955255052375,106.57993068474764,10.08155034080138
Vinh Long,2022-07-31,27.516007763425268,105.68251872426956,9.881631018924145,106.28965209076,10.33212058754154
An Giang,2022-08-01,8.20829423073209,104.778770446599,10.183177730593927,105.5755315150172,10.96156729626376
Bac Lieu,2022-08-01,20.84134216967169,105.2320781910786,9.015620078159596,105.86004447827872,9.636871003685163
Ben Tre,2022-08-01,20.664736817137804,106.028121331805,9.800894496376742,106.79137678166472,10.339995403704991
Ca Mau,2022-08-01,23.24051421057287,104.52285371840746,8.410881255220625,105.41919102263952,9.561159869216205
Can Tho city,2022-08-01,14.843740506438364,105.22551888133968,9.920032814736352,105.81443674963094,10.325998260551987
Dong Thap,2022-08-01,10.836445436419236,105.1852665822807,10.134198983606884,105.94174409564891,10.973250132078466
Hau Giang,2022-08-01,24.10995500158624,105.3286667510096,9.58245212371618,105.89689452564392,10.024469393813913
Kien Giang,2022-08-01,21.853011302071028,103.45860895043066,9.285337707844768,105.53917643483103,10.540770860075064
Long An,2022-08-01,19.16120093077885,105.5000522864946,10.39429836911349,106.7465360113959,11.03223963092016
Soc Trang,2022-08-01,22.943838554176235,105.544487281219,9.222357422604045,106.29362067441704,9.935960704508396
Tien Giang,2022-08-01,16.177913175067093,105.81575220542813,10.201914891785597,106.78444735953131,10.587390759284457
Tra Vinh,2022-08-01,26.27708040989013,105.95179045022628,9.525955255052375,106.57993068474764,10.08155034080138
Vinh Long,2022-08-01,17.127806913827232,105.68251872426956,9.881631018924145,106.28965209076,10.33212058754154
An Giang,2022-08-02,5.414998220159408,104.778770446599,10.183177730593927,105.5755315150172,10.96156729626376
Bac Lieu,2022-08-02,7.245036346219624,105.2320781910786,9.015620078159596,105.86004447827872,9.636871003685163
Ben Tre,2022-08-02,3.808260584889591,106.028121331805,9.800894496376742,106.79137678166472,10.339995403704991
Ca Mau,2022-08-02,3.857831015813524,104.52285371840746,8.410881255220625,105.41919102263952,9.561159869216205
Can Tho city,2022-08-02,10.746415265423108,105.22551888133968,9.920032814736352,105.81443674963094,10.325998260551987
Dong Thap,2022-08-02,8.547055528166343,105.1852665822807,10.134198983606884,105.94174409564891,10.973250132078466
Hau Giang,2022-08-02,9.256486702859284,105.3286667510096,9.58245212371618,105.89689452564392,10.024469393813913
Kien Giang,2022-08-02,10.744877399086022,103.45860895043066,9.285337707844768,105.53917643483103,10.540770860075064
Long An,2022-08-02,6.415168885695395,105.5000522864946,10.39429836911349,106.7465360113959,11.03223963092016
Soc Trang,2022-08-02,2.1898151798173893,105.544487281219,9.222357422604045,106.29362067441704,9.935960704508396
Tien Giang,2022-08-02,6.872515450191013,105.81575220542813,10.201914891785597,106.78444735953131,10.587390759284457
Tra Vinh,2022-08-02,1.7063096797790445,105.95179045022628,9.525955255052375,106.57993068474764,10.08155034080138
Vinh Long,2022-08-02,9.412257213965272,105.68251872426956,9.881631018924145,106.28965209076,10.33212058754154
An Giang,2022-08-03,11.945664150385843,104.778770446599,10.183177730593927,105.5755315150172,10.96156729626376
Bac Lieu,2022-08-03,11.104146945881396,105.2320781910786,9.015620078159596,105.86004447827872,9.636871003685163
Ben Tre,2022-08-03,9.43918783139514,106.028121331805,9.800894496376742,106.79137678166472,10.339995403704991
Ca Mau,2022-08-03,8.060094720543226,104.52285371840746,8.410881255220625,105.41919102263952,9.561159869216205
Can Tho city,2022-08-03,12.156410871777837,105.22551888133968,9.920032814736352,105.81443674963094,10.325998260551987
Dong Thap,2022-08-03,8.80735605282256,105.1852665822807,10.134198983606884,105.94174409564891,10.973250132078466
Hau Giang,2022-08-03,12.61335644732131,105.3286667510096,9.58245212371618,105.89689452564392,10.024469393813913
Kien Giang,2022-08-03,14.891915446682209,103.45860895043066,9.285337707844768,105.53917643483103,10.540770860075064
Long An,2022-08-03,12.298023429119322,105.5000522864946,10.39429836911349,106.7465360113959,11.03223963092016
Soc Trang,2022-08-03,9.690422404594552,105.544487281219,9.222357422604045,106.29362067441704,9.935960704508396
Tien Giang,2022-08-03,7.681417227836699,105.81575220542813,10.201914891785597,106.78444735953131,10.587390759284457
Tra Vinh,2022-08-03,5.573450133864524,105.95179045022628,9.525955255052375,106.57993068474764,10.08155034080138
Vinh Long,2022-08-03,10.2368974153819,105.68251872426956,9.881631018924145,106.28965209076,10.33212058754154
An Giang,2022-08-04,6.830441237020708,104.778770446599,10.183177730593927,105.5755315150172,10.96156729626376
Bac Lieu,2022-08-04,12.625481621742251,105.2320781910786,9.015620078159596,105.86004447827872,9.636871003685163
Ben Tre,2022-08-04,1.9744418443376288,106.028121331805,9.800894496376742,106.79137678166472,10.339995403704991
Ca Mau,2022-08-04,12.60765251341618,104.52285371840746,8.410881255220625,105.41919102263952,9.561159869216205
Can Tho city,2022-08-04,5.684886117543456,105.22551888133968,9.920032814736352,105.81443674963094,10.325998260551987
Dong Thap,2022-08-04,4.922506481382023,105.1852665822807,10.134198983606884,105.94174409564891,10.973250132078466
Hau Giang,2022-08-04,9.52212316365094,105.3286667510096,9.58245212371618,105.89689452564392,10.024469393813913
Kien Giang,2022-08-04,9.209633965515344,103.45860895043066,9.285337707844768,105.53917643483103,10.540770860075064
Long An,2022-08-04,4.558930232300892,105.5000522864946,10.39429836911349,106.7465360113959,11.03223963092016
Soc Trang,2022-08-04,7.438985033557724,105.544487281219,9.222357422604045,106.29362067441704,9.935960704508396
Tien Giang,2022-08-04,6.057497560390548,105.81575220542813,10.201914891785597,106.78444735953131,10.587390759284457
Tra Vinh,2022-08-04,5.161952303559713,105.95179045022628,9.525955255052375,106.57993068474764,10.08155034080138
Vinh Long,2022-08-04,2.994724362373232,105.68251872426956,9.881631018924145,106.28965209076,10.33212058754154
An Giang,2022-08-05,4.481206581702237,104.778770446599,10.183177730593927,105.5755315150172,10.96156729626376
Bac Lieu,2022-08-05,0.8513737161024564,105.2320781910786,9.015620078159596,105.86004447827872,9.636871003685163
Ben Tre,2022-08-05,6.934225265726861,106.028121331805,9.800894496376742,106.79137678166472,10.339995403704991
Ca Mau,2022-08-05,0.8337468109943849,104.52285371840746,8.410881255220625,105.41919102263952,9.561159869216205
Can Tho city,2022-08-05,2.9072813743562382,105.22551888133968,9.920032814736352,105.81443674963094,10.325998260551987
Dong Thap,2022-08-05,3.040374952790037,105.1852665822807,10.134198983606884,105.94174409564891,10.973250132078466
Hau Giang,2022-08-05,0.3128783773461399,105.3286667510096,9.58245212371618,105.89689452564392,10.024469393813913
Kien Giang,2022-08-05,5.850797967024962,103.45860895043066,9.285337707844768,105.53917643483103,10.540770860075064
Long An,2022-08-05,7.515250964167696,105.5000522864946,10.39429836911349,106.7465360113959,11.03223963092016
Soc Trang,2022-08-05,0.3194271148330307,105.544487281219,9.222357422604045,106.29362067441704,9.935960704508396
Tien Giang,2022-08-05,9.709617249038594,105.81575220542813,10.201914891785597,106.78444735953131,10.587390759284457
Tra Vinh,2022-08-05,2.473994753657191,105.95179045022628,9.525955255052375,106.57993068474764,10.08155034080138
Vinh Long,2022-08-05,4.815836354297984,105.68251872426956,9.881631018924145,106.28965209076,10.33212058754154
An Giang,2022-08-06,21.29047901713388,104.778770446599,10.183177730593927,105.5755315150172,10.96156729626376
Bac Lieu,2022-08-06,24.363928078597453,105.2320781910786,9.015620078159596,105.86004447827872,9.636871003685163
Ben Tre,2022-08-06,7.420188833308101,106.028121331805,9.800894496376742,106.79137678166472,10.339995403704991
Ca Mau,2022-08-06,27.169294812001446,104.52285371840746,8.410881255220625,105.41919102263952,9.561159869216205
Can Tho city,2022-08-06,10.523817928966205,105.22551888133968,9.920032814736352,105.81443674963094,10.325998260551987
Dong Thap,2022-08-06,15.92915933681828,105.1852665822807,10.134198983606884,105.94174409564891,10.973250132078466
Hau Giang,2022-08-06,12.144971398530116,105.3286667510096,9.58245212371618,105.89689452564392,10.024469393813913
Kien Giang,2022-08-06,31.46115417205696,103.45860895043066,9.285337707844768,105.53917643483103,10.540770860075064
Long An,2022-08-06,12.572191866082248,105.5000522864946,10.39429836911349,106.7465360113959,11.03223963092016
Soc Trang,2022-08-06,17.0434043881307,105.544487281219,9.222357422604045,106.29362067441704,9.935960704508396
Tien Giang,2022-08-06,9.126157683151584,105.81575220542813,10.201914891785597,106.78444735953131,10.587390759284457
Tra Vinh,2022-08-06,9.944218602754608,105.95179045022628,9.525955255052375,106.57993068474764,10.08155034080138
Vinh Long,2022-08-06,8.736479684907138,105.68251872426956,9.881631018924145,106.28965209076,10.33212058754154
An Giang,2022-08-07,2.788285740885342,104.778770446599,10.183177730593927,105.5755315150172,10.96156729626376
Bac Lieu,2022-08-07,20.672963210339816,105.2320781910786,9.015620078159596,105.86004447827872,9.636871003685163
Ben Tre,2022-08-07,17.285117938653368,106.028121331805,9.800894496376742,106.79137678166472,10.339995403704991
Ca Mau,2022-08-07,19.58711364377908,104.52285371840746,8.410881255220625,105.41919102263952,9.561159869216205
Can Tho city,2022-08-07,12.21072251804938,105.22551888133968,9.920032814736352,105.81443674963094,10.325998260551987
Dong Thap,2022-08-07,7.59292469169105,105.1852665822807,10.134198983606884,105.94174409564891,10.973250132078466
Hau Giang,2022-08-07,16.599820825886212,105.3286667510096,9.58245212371618,105.89689452564392,10.024469393813913
Kien Giang,2022-08-07,8.12313787198087,103.45860895043066,9.285337707844768,105.53917643483103,10.540770860075064
Long An,2022-08-07,11.615528321913777,105.5000522864946,10.39429836911349,106.7465360113959,11.03223963092016
Soc Trang,2022-08-07,22.58297963913296,105.544487281219,9.222357422604045,106.29362067441704,9.935960704508396
Tien Giang,2022-08-07,17.870893616221956,105.81575220542813,10.201914891785597,106.78444735953131,10.587390759284457
Tra Vinh,2022-08-07,22.988180371865628,105.95179045022628,9.525955255052375,106.57993068474764,10.08155034080138
Vinh Long,2022-08-07,18.95965766394365,105.68251872426956,9.881631018924145,106.28965209076,10.33212058754154
An Giang,2022-08-08,0.7473375040419227,104.778770446599,10.183177730593927,105.5755315150172,10.96156729626376
