province,date,precipitation,Rainf_tavg,Rainf_f_tavg,CanopInt_inst,ECanop_tavg,Lwnet_tavg,Qs_acc,LWdown_f_tavg,Tveg_tavg,SoilMoi0_10cm_inst,Qair_f_inst,SoilMoi10_40cm_inst,SWdown_f_tavg,minx,maxx,miny,maxy
Tien Giang,2023-05-24,6.146762132663832,0.0002124844014531,0.0002124844014531,0.430271533822014,97.45118399854312,-45.52781319312915,0.0565916337701681,423.3359315314864,15.2106418520802,36.66906095244971,0.0168803961962739,102.65973491024776,259.50582567776735,105.81575220542813,106.78444735953131,10.201914891785597,10.587390759284457
Tien Giang,2023-05-25,7.16794911696221,0.0001931443988219,0.0001931443988219,0.3979327689088682,58.21183023241818,-18.15917511341597,0.0607227602609291,448.2000719632203,16.111652704278857,37.109672959386536,0.0168965976203903,104.81184206020014,134.45663242539928,105.81575220542813,106.78444735953131,10.201914891785597,10.587390759284457
Tien Giang,2023-05-26,12.462484335037209,0.0001363717277519,0.0001363717277519,0.3941139397715523,73.02490945800497,-28.20860300297232,0.0195187729568143,440.6836656919042,15.932891028030095,37.20454515983395,0.0164484856249081,106.89182489326308,183.62652847236745,105.81575220542813,106.78444735953131,10.201914891785597,10.587390759284457
Tien Giang,2023-05-27,11.93296783286229,0.0001892308624324,0.0001892308624324,0.4653744175076068,59.83100455465084,-19.17000125312139,0.0761444322261807,438.2363707572395,2.29916181875885,38.07621691418471,0.0178996713504594,108.6368239272876,132.12221568843677,105.81575220542813,106.78444735953131,10.201914891785597,10.587390759284457
Tien Giang,2023-05-28,0.0,1.0635317183216645e-05,1.0635317183216645e-05,0.0978703435783613,21.87935869352365,-36.124766244322096,0.0002941851055372,422.36141868298216,30.92013180325278,35.28289039087795,0.0177265653349849,105.3578878631414,149.3987482357358,105.81575220542813,106.78444735953131,10.201914891785597,10.587390759284457
Tien Giang,2023-05-29,7.283214859536471,1.7228361283550194e-05,1.7228361283550194e-05,0.1217321023102134,7.892080929559658,-34.38991240211638,0.0003192913265674,432.1276822073495,48.56739834218141,33.66005750307521,0.0178058805167501,101.5129048144304,171.6031902877221,105.81575220542813,106.78444735953131,10.201914891785597,10.587390759284457
Tien Giang,2023-05-30,2.583479282425489,1.1254962089887442e-05,1.1254962089887442e-05,0.0696395503246464,20.992427087635043,-41.73990226985412,0.0001106140841474,427.2189618822304,48.7589468906034,32.550864418393935,0.0174631841688897,99.02552493431791,200.754850536342,105.81575220542813,106.78444735953131,10.201914891785597,10.587390759284457
Tien Giang,2023-05-31,11.220663670690648,4.878588499896671e-05,4.878588499896671e-05,0.2124353905703885,22.351177240000894,-44.56644062668397,0.0031539187888244,421.1974878100216,45.95692399883159,32.29741650493653,0.0177154488540639,97.09333251491276,177.47600344923242,105.81575220542813,106.78444735953131,10.201914891785597,10.587390759284457
Tien Giang,2023-06-01,4.611320910289422,9.77269932702216e-05,9.77269932702216e-05,0.3214129839565201,65.65872490364404,-39.017820795700906,0.011883064504722,429.079560320924,37.53965320964632,33.487593052412215,0.0174680688571319,96.80062418572422,222.3262668383136,105.81575220542813,106.78444735953131,10.201914891785597,10.587390759284457
Tien Giang,2023-06-02,6.095030405329494,0.0001382359430469,0.0001382359430469,0.3968613225797557,76.32731801611443,-40.116642171484486,0.0270305410842275,424.1528218350394,19.615711753942914,35.443739863296884,0.0175406818795294,99.93738472420068,190.35527470225648,105.81575220542813,106.78444735953131,10.201914891785597,10.587390759284457
