PRODUCT_ID,GRANULE_MEAN_AOT,GRANULE_MEAN_WV,OZONE_VALUE,CLOUDY_PIXEL_PERCENTAGE,THIN_CIRRUS_PERCENTAGE,VEGETATION_PERCENTAGE,MEAN_SOLAR_ZENITH_ANGLE,WATER_PERCENTAGE,SNOW_ICE_PERCENTAGE,_source_file,AREA
S2B_MSIL2A_20190129T033009_N0211_R018_T48PUR_20190129T084030,,,,25.991909,7.613591,0.090672,35.760130793,73.841852,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-29_03-45-31\20190129T033009_20190129T033745_T48PUR_metadata.json,48PUR
S2A_MSIL2A_20190131T031951_N0211_R118_T48PWT_20190131T072612,,,,38.632949,23.758581,29.192403,37.313624661,1.552769,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-31_03-34-57\20190131T031951_20190131T032917_T48PWT_metadata.json,48PWT
S2A_MSIL2A_20190131T031951_N0211_R118_T48PVT_20190131T072612,,,,41.700136,28.353444,19.394374,37.8903794467,0.852053,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-31_03-35-01\20190131T031951_20190131T032917_T48PVT_metadata.json,48PVT
S2A_MSIL2A_20190131T031951_N0211_R118_T48PWS_20190131T072612,,,,46.964997,24.707539,40.333295,36.5859291398,2.2513,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-31_03-35-12\20190131T031951_20190131T032917_T48PWS_metadata.json,48PWS
S2A_MSIL2A_20190131T031951_N0211_R118_T48PUS_20190131T072612,,,,48.493704,38.360015,17.562602,37.7655795313,31.120068,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-31_03-35-18\20190131T031951_20190131T032917_T48PUS_metadata.json,48PUS
S2A_MSIL2A_20190131T031951_N0211_R118_T48PXR_20190131T072612,,,,38.82765,19.327502,12.767673,35.2824372097,35.63782,0.000132,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-31_03-35-23\20190131T031951_20190131T032917_T48PXR_metadata.json,48PXR
S2A_MSIL2A_20190131T031951_N0211_R118_T48PWR_20190131T072612,,,,22.050926,12.153216,26.69678,35.8652857023,16.288701,0.001221,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-31_03-35-26\20190131T031951_20190131T032917_T48PWR_metadata.json,48PWR
S2A_MSIL2A_20190131T031951_N0211_R118_T48PVR_20190131T072612,,,,44.825697,26.096708,8.631046,36.4588355982,35.026655,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-31_03-35-30\20190131T031951_20190131T032917_T48PVR_metadata.json,48PVR
S2A_MSIL2A_20190131T031951_N0211_R118_T48PUR_20190131T072612,,,,18.846343,10.248786,0.033199,37.0620503832,81.106848,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-31_03-35-32\20190131T031951_20190131T032917_T48PUR_metadata.json,48PUR
S2A_MSIL2A_20190131T031951_N0211_R118_T48PWQ_20190131T072612,,,,11.168218,2.952747,2.577208,35.1513465179,80.290568,0.008484,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-31_03-35-41\20190131T031951_20190131T032917_T48PWQ_metadata.json,48PWQ
