province,date,precipitation
Soc Trang,2019-11-01,10.131330123885709
Soc Trang,2019-11-02,6.3050362506526
Soc Trang,2019-11-03,20.12765484485803
Soc Trang,2019-11-04,3.679180893526301
Soc Trang,2019-11-05,4.110799872667706
Soc Trang,2019-11-06,28.74290360011966
Soc Trang,2019-11-07,2.7864157278115655
Soc Trang,2019-11-08,11.03191961986455
Soc Trang,2019-11-09,9.430674707874982
Soc Trang,2019-11-10,24.590374131443376
Soc Trang,2019-11-11,0.2730579371857146
Soc Trang,2019-11-12,0.5357657662490516
Soc Trang,2019-11-13,3.525164221817854
Soc Trang,2019-11-14,3.8526132373001434
Soc Trang,2019-11-15,0.07393771913315747
Soc Trang,2019-11-16,0
Soc Trang,2019-11-17,0
Soc Trang,2019-11-18,0
Soc Trang,2019-11-19,4.58238559164254
Soc Trang,2019-11-20,0
Soc Trang,2019-11-21,0
Soc Trang,2019-11-22,0
Soc Trang,2019-11-23,0.019185247053164243
Soc Trang,2019-11-24,0.36599585165652404
Soc Trang,2019-11-25,8.452489172613522
Soc Trang,2019-11-26,3.494212167174337
Soc Trang,2019-11-27,0.01738146061099727
Soc Trang,2019-11-28,0
Soc Trang,2019-11-29,0
Soc Trang,2019-11-30,0
Soc Trang,2019-12-01,0
Soc Trang,2019-12-02,3.874834924767997
Soc Trang,2019-12-03,0
Soc Trang,2019-12-04,0.044678226258193
Soc Trang,2019-12-05,0
Soc Trang,2019-12-06,0.10153091091933958
Soc Trang,2019-12-07,0.18230509256923783
Soc Trang,2019-12-08,0
Soc Trang,2019-12-09,0
Soc Trang,2019-12-10,0
Soc Trang,2019-12-11,0
Soc Trang,2019-12-12,1.2161120896484605
Soc Trang,2019-12-13,0
Soc Trang,2019-12-14,1.4421835407816839
Soc Trang,2019-12-15,0
Soc Trang,2019-12-16,0.12945415643733213
Soc Trang,2019-12-17,0
Soc Trang,2019-12-18,2.563097480290454
Soc Trang,2019-12-19,0
Soc Trang,2019-12-20,0
Soc Trang,2019-12-21,0
Soc Trang,2019-12-22,0
Soc Trang,2019-12-23,0
Soc Trang,2019-12-24,0.2517551741264416
Soc Trang,2019-12-25,0
Soc Trang,2019-12-26,0.6739992575032779
Soc Trang,2019-12-27,0.335092143892527
Soc Trang,2019-12-28,0
Soc Trang,2019-12-29,0
Soc Trang,2019-12-30,0.4274539748191445
Soc Trang,2019-12-31,2.250399247407844
Soc Trang,2020-01-01,0
Soc Trang,2020-01-02,0
Soc Trang,2020-01-03,0
Soc Trang,2020-01-04,0
Soc Trang,2020-01-05,0.22465742115314566
Soc Trang,2020-01-06,0
Soc Trang,2020-01-07,0
Soc Trang,2020-01-08,0
Soc Trang,2020-01-09,0
Soc Trang,2020-01-10,0
Soc Trang,2020-01-11,0.23727988534349287
Soc Trang,2020-01-12,0.06862078158841697
Soc Trang,2020-01-13,0
Soc Trang,2020-01-14,0
Soc Trang,2020-01-15,0
Soc Trang,2020-01-16,0
Soc Trang,2020-01-17,0.12913378657260333
Soc Trang,2020-01-18,0
Soc Trang,2020-01-19,0
Soc Trang,2020-01-20,0
Soc Trang,2020-01-21,0
Soc Trang,2020-01-22,0
Soc Trang,2020-01-23,0
Soc Trang,2020-01-24,0
Soc Trang,2020-01-25,0
Soc Trang,2020-01-26,0
Soc Trang,2020-01-27,0
Soc Trang,2020-01-28,0
Soc Trang,2020-01-29,0
Soc Trang,2020-01-30,0.28838406081332063
Soc Trang,2020-01-31,0
Soc Trang,2020-02-01,1.053237180587139
Soc Trang,2020-02-02,0
Soc Trang,2020-02-03,0.09795963025075034
